Monthly Benefit (dollars),Total Number,Total Percent,"Early Retirement, Number","Early Retirement, Percent","Retirement, Number","Retirement, Percent"
Less than 500.00,224419,8.2,"178,020",9.8,"46,399",5.0
500.00–549.90,41882,1.5,"34,761",1.9,"7,121",0.8
550.00–599.90,59596,2.2,"52,057",2.9,"7,539",0.8
600.00–649.90,66383,2.4,"56,591",3.1,"9,792",1.1
650.00–699.90,69904,2.6,"58,785",3.2,"11,119",1.2
700.00–749.90,81535,3.0,"64,907",3.6,"16,628",1.8
750.00–799.90,87594,3.2,"68,907",3.8,"18,687",2.0
800.00–849.90,90095,3.3,"70,470",3.9,"19,625",2.1
850.00–899.90,90193,3.3,"69,553",3.8,"20,640",2.2
900.00–949.90,88493,3.2,"66,869",3.7,"21,624",2.4
950.00–999.90,81967,3.0,"59,839",3.3,"22,128",2.4
"1,000.00–1,049.90",82929,3.0,"59,836",3.3,"23,093",2.5
"1,050.00–1,099.90",81652,3.0,"58,609",3.2,"23,043",2.5
"1,100.00–1,149.90",79652,2.9,"56,622",3.1,"23,030",2.5
"1,150.00–1,199.90",77871,2.8,"54,637",3.0,"23,234",2.5
"1,200.00–1,249.90",76490,2.8,"53,124",2.9,"23,366",2.5
"1,250.00–1,299.90",72979,2.7,"50,384",2.8,"22,595",2.5
"1,300.00–1,349.90",70339,2.6,"48,440",2.7,"21,899",2.4
"1,350.00–1,399.90",69170,2.5,"47,291",2.6,"21,879",2.4
"1,400.00–1,449.90",67062,2.5,"45,360",2.5,"21,702",2.4
"1,450.00–1,499.90",75396,2.8,"53,391",2.9,"22,005",2.4
"1,500.00–1,549.90",84353,3.1,"62,861",3.5,"21,492",2.3
"1,550.00–1,599.90",78150,2.9,"57,244",3.2,"20,906",2.3
"1,600.00–1,649.90",72919,2.7,"52,055",2.9,"20,864",2.3
"1,650.00–1,699.90",67871,2.5,"46,526",2.6,"21,345",2.3
"1,700.00–1,749.90",62605,2.3,"41,560",2.3,"21,045",2.3
"1,750.00–1,799.90",57908,2.1,"37,950",2.1,"19,958",2.2
"1,800.00–1,849.90",53711,2.0,"34,239",1.9,"19,472",2.1
"1,850.00–1,899.90",47424,1.7,"28,866",1.6,"18,558",2.0
"1,900.00–1,949.90",41434,1.5,"22,659",1.2,"18,775",2.0
"1,950.00–1,999.90",44082,1.6,"21,577",1.2,"22,505",2.4
"2,000.00–2,049.90",47708,1.7,"19,306",1.1,"28,402",3.1
"2,050.00–2,099.90",43342,1.6,"16,623",0.9,"26,719",2.9
"2,100.00 or more",297899,10.9,"65,028",3.6,"232,871",25.3
